amfi_code,cagr
100016,0.026370743672111008
100025,0.04458209619173137
100033,0.3012315310072722
101206,0.2353836133468803
101207,0.07938764837247714
101208,0.06509026855465327
102885,0.18232378887705947
102886,0.011717454918341197
102887,0.16841120247307528
118632,0.24049492662391758
118633,0.16274217354504272
118634,0.16373474033415758
118635,0.15957231179671738
118636,0.05316889625171273
119092,0.06367989237605243
119093,0.07897557854375958
119094,0.2821441719365203
119095,0.015215045330823962
119120,0.05889418716346717
119551,0.25804686425584
119552,0.21524235873769704
119598,0.32423536152454613
119599,0.02054484701809378
120503,0.18785325598262204
120504,0.2329511862010305
120505,0.3282740607461121
120506,0.1708486725575018
120507,0.07237539728384412
120841,0.1353221114899239
120842,0.06701543482038463
120843,0.3090745475400549
120844,0.06915272985067156
125497,0.19017795344711463
125498,0.11301817123279978
148567,0.3097410750185903
148568,0.2251686900711385
148569,0.3194952310833252
149322,0.13393275924001857
149323,0.29581086910433996
149324,0.3228744045157361
